factory_code,factory_name
31284,VẠN SƯƠNG 萬昌
31285,SHIRONG
31287,MAESTRO 邁碩
31288,TÂN NGUYÊN PHÁT
31289,TUẤN HÙNG TIẾN
31289,TUẤN HÙNG TIẾN
31290,TRAN LAM
31291,PHÚ LONG PHÁT
31292,BIÊN HOA SCM
31294,JIA HSIN 佳新
31295,NGŨ KIM KIM TRƯỜNG THỊNH
31296,HƯNG NGUYÊN PHÁT
31297,DIAMOND
31298,YUE YANG
31300,橋水 BRIDGEWATER
31300,橋水 BRIDGEWATER
31301,立成 LẬP THÀNH
31302,向陽花 HOA HƯỚNG DƯƠNG
31303,DŨNG KHANH
31303,DŨNG KHANH
31304,DAPHOCO
31305,MỘC THIÊN PHÚ
31307,ECC
31309,AMBILUUX
31312,BO MEI
31313,VHG
31314,順强 VIỆT THUẬN CƯỜNG
31315,TR FURNITURE
31316,ALLIANCE
31317,MICA
31318,何美 HÀ MY
31318,何美 HÀ MY
31319,恆亮 TAN HENG LIANG
31319,恆亮TAN HENG LIANG
31320,AN THINH PHAT
31320,AN THINH PHAT
31321,LONG NGỌC PHÁT
31322,HỒ KHÁNH
31323,YONG LI 永利
31324,HONG YUE 宏越摸貝
31325,NGUYEN LIEU GO
31327,Đ.H.C
31329,LEATHER HOUSE VIETNAM
3999,
39999,零售客戶
PM,PM
QA,QA
RD,RD
SKS,
TV,TV
